0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,Class
-421.933197,67.15574646,57.17124176,43.80809402,30.40260506,19.54794884,12.57512188,9.644521713,10.06766987,12.61394691,15.81280708,18.30366325,19.15685844,18.03636169,15.17292023,11.21844769,7.045387745,3.508107424,1.202028155,0.309568226,0.604936361,1.596775532,2.721016645,3.513003826,3.728776932,3.387182713,2.702904224,1.936990261,1.266735911,0.764733076,0.465252399,0.410275251,0.613188684,0.996019006,1.39585638,1.652863741,1.697872162,1.565742612,1.345342159,1.125801563,0.969070375,0.895618975,0.875583947,0.844730556,0.752748013,0.606832802,0.462911874,0.367985308,0.312484354,0.242158696,0.114321209,-0.061156623,COPD
-365.6338806,108.5397263,60.31551743,23.09892273,13.54496193,19.19305038,21.56805038,17.36235237,14.15639496,14.93857861,15.15384102,11.87244225,8.088105202,7.104485035,7.889923096,7.971422672,7.377439499,7.307562351,7.225107193,5.85158062,3.821846724,3.0235219,3.792287827,4.687498569,4.86916256,4.938650608,5.267678261,5.114096642,3.986986876,2.672567606,2.150080204,2.344666719,2.676080227,3.107172728,3.789343357,4.177416325,3.476170778,1.847506881,0.374349296,-0.208717406,-0.100622311,0.28167364,0.88589251,1.622497201,1.979759455,1.52408123,0.509753942,-0.382063597,-0.729049087,-0.516609728,0.141399726,1.015035868,COPD
-253.5764008,100.315567,-9.214789391,47.84096909,-7.783814907,19.81344223,8.787479401,24.71722221,-9.867976189,23.46794319,10.2380867,6.425677776,-0.73971808,7.610497475,-4.298560619,4.213088512,-0.511970162,6.084066868,3.69670701,5.730622768,-2.322991848,3.982594013,9.073900223,3.002941608,5.822228432,2.562283039,-1.305374503,3.867077112,1.17531538,-3.452862501,0.262974083,2.838532686,3.38769269,3.194587469,-0.586067975,-0.355635643,2.81531024,-0.93072468,2.185462713,-1.276260376,0.23430407,0.632386506,2.270452499,-1.679090261,3.391042948,0.610042632,-0.917375386,-1.126659989,2.968965292,0.356165975,-2.24211812,2.868685722,COPD
-451.6333008,92.52140808,56.94454956,36.28108597,31.34724808,29.66692162,22.21422005,15.51211262,12.98187447,13.58042526,13.30181694,8.915062904,6.609260559,7.574879169,8.616793633,8.679434776,6.528829098,5.680528164,5.634812832,5.842349529,6.420191288,5.253064632,4.97827816,5.184034824,5.007969856,5.231296539,4.194345474,4.402208328,4.699404716,4.45193243,4.655247211,3.633635759,3.614926577,3.424999475,2.980189562,3.363703728,2.630364895,2.597908258,2.536146402,2.119677544,2.380795717,1.605177164,1.773360848,1.702355504,1.246825457,1.571444869,0.951902151,1.196124315,1.30077219,1.106955409,1.617337942,1.154738665,Healthy
-407.378275,73.68373755,50.20362723,33.70179337,29.65719962,27.92014911,21.11524746,15.64044976,13.22705752,13.06069939,12.79463561,9.400330001,7.401651227,8.534279718,8.422090553,8.772708349,6.597356987,5.975528727,5.687689809,5.867522383,5.96134947,5.282397749,4.770487964,5.267276661,5.079037658,5.308019021,4.345186514,4.273137808,4.549869058,4.289021961,4.56973772,3.597151438,3.689830051,3.498235665,3.475796357,3.107924388,2.776176293,2.38105668,2.54153298,1.945847707,2.090424697,1.916862854,1.997717695,1.575595873,1.452898244,1.237956329,1.028011121,1.104230553,1.240089551,1.373660343,1.447307434,1.489727498,Healthy
-451.0168152,92.64679718,56.8259697,36.18532944,31.29024887,29.61526108,22.1826458,15.47021866,12.91003799,13.52021885,13.2905035,8.920830727,6.608645439,7.586323738,8.620837212,8.660648346,6.498941898,5.660867691,5.635538101,5.870426655,6.443715096,5.259016037,4.963777065,5.161124706,5.001817703,5.243091583,4.20976162,4.406005859,4.702833652,4.458703041,4.652581692,3.63531971,3.619544029,3.4231112,2.972178936,3.35682106,2.636305809,2.60981226,2.537410736,2.118566513,2.384720325,1.613033175,1.772917271,1.699113131,1.242773056,1.569495678,0.952316105,1.194320917,1.302509546,1.110402703,1.622080803,1.156865239,Healthy
-482.1098022,93.6595993,55.89431,34.78816605,30.98146248,30.13952065,22.36987305,15.16719341,12.45301056,13.08851528,13.2459116,8.481152534,6.088336945,7.452167511,7.984692574,8.591023445,5.914353371,5.399209499,5.035153389,5.493801117,6.397984505,5.271513462,4.806911469,5.263372421,4.692798615,5.248060703,3.969539642,4.191305637,4.665967941,3.9977355,4.72140646,3.381479263,3.722647429,3.154840469,2.623101711,3.001541615,2.398994207,1.942982078,2.093461752,1.389016032,2.285250664,1.388524771,1.794826984,1.742842793,0.91592443,1.53648138,0.677488029,1.243394732,1.311663151,1.261326075,1.608212471,1.253541589,Healthy
-481.7135925,91.53065491,55.56820297,35.20747757,31.13260269,29.64566422,22.04696846,15.16590405,12.65766335,13.37595844,13.29158115,8.709428787,6.193573475,7.33108902,8.135694504,8.610024452,6.339184284,5.76225853,5.358595371,5.658127785,6.211351395,5.098072052,4.724215508,5.159522533,4.884597778,5.174513817,3.940054178,4.205008984,4.666308403,4.249427795,4.661310673,3.342991352,3.594664097,3.126206636,2.77028656,3.103327751,2.553303003,2.373501062,2.452761889,1.818059921,2.351153135,1.454501867,1.790442586,1.74006784,1.205799699,1.733608484,0.882541299,1.282493591,1.215811729,1.146863818,1.531705141,1.208829045,Healthy
28.61763,1.436152697,0.471850544,0.494474888,0.36906901,0.16666463,0.12189617,0.10072425,0.061912417,0.042996056,0.038960859,0.039936043,0.038968749,0.032011434,0.042112753,0.033362288,0.023684997,0.017095318,0.006054567,0.00430991,0.003532876,0.005401824,0.00818918,0.005731815,0.002529499,0.000827387,0.000382756,0.000203592,0.000197196,0.000115504,8.29E-05,7.60E-05,5.59E-05,4.22E-05,3.18E-05,1.63E-05,7.65E-06,5.27E-06,3.28E-06,3.56E-06,4.09E-06,4.28E-06,4.62E-06,5.75E-06,9.04E-06,3.79E-06,1.99E-06,1.96E-06,2.37E-06,2.21E-06,1.43E-06,2.47E-07,Healthy
-358.8223267,160.2658386,21.3175869,0.244410217,14.52576351,29.67844772,24.48476028,19.92915344,13.17883205,10.6192112,6.363317013,7.308121204,7.71425581,6.004909039,7.075494289,10.50617886,8.690410614,9.302012444,3.148076057,4.064736366,5.25555563,3.24148345,4.129024506,1.025994658,-0.603014171,-1.581739068,1.264885664,0.926461995,-0.300619364,0.098200746,0.092117555,3.615996599,3.498095036,0.523439884,2.7172122,-0.383070767,0.287707984,0.539907098,0.709326208,1.331167936,0.4361763,3.271498203,2.098366022,0.175849006,0.52681905,0.004703225,-0.955126703,-2.04902935,0.907844484,0.648275495,0.590286672,2.588897705,COPD
